,Unnamed: 0,id,keyword,location,target,text,Unnamed: 0.1
11,11,17,,,1,Jaja south of Tampa is flooded wait a second hah- I live in South Tampa What I will do what I'm gonna do fvck #flooding,
159,159,229,airplane%20accident,,1,France experts begin examining the remains of the plane found in Reunion Island: French air accident experts Wedn ... http://t.co/v4SMAESLK5,
163,163,237,airplane%20accident,92,1,"#OMG! I do not believe this. bro #RIP
#AirPlane #Accident #JetEngine #TurboJet #Boing # G90 http://t.co/KXxnSZp6nk",
366,366,524,army,Campinas Sp,0,"You Da One

#MTVSummerStar #VideoVeranoMTV #MTVHottest Britney Spears Wool King",
658,658,952,blaze,,0,What Dems. Blaze police arrested ago.Chicago months covered thousands of black Americans in interrogation facilities http://t.co/UWItVBsbnC,
707,707,1021,blazing,New York,0,Morgan Silver Dollar 1921 P CH PL Burning Gem Bu MS ++++++ satin Rare As proof! - complete re u_ http://t.co/99MbyFl3Id http://t.co/4ddMTguZzS,
745,745,1077,bleeding,,0,A delirium wedding? Am I seeing this my eyes are bleeding,
1050,1050,1519,body%20bags,,0,Your body heals bags under the eyes will disappear Ûªll you're so happy that Ûªll smile and really ... 'http://t.co/WuKcAlNQms,
1265,1265,1823,burned,germany,0,you should probably stay away from hot glue guns .. I burned a fairly bad finger,
1334,1334,1927,burning%20buildings,we?it Û¢ ixwin,1,@Louis_Tomlinson amazing? Children screamed buildings were on fire and I danced in the ashes,
1516,1516,2190,catastrophic,,1,The catastrophic effects of Hiroshima and Nagasaki Atomic bombings still being felt today http://t.co/QVlxpyyyCd,
1713,1713,2470,collided,From a torn up town MANCHESTER,1,Two collided on the occasion of the burning cars shotgun in Denton http://t.co/0r03C6njLI,
1898,1898,2729,crushed,"Ontario, Canada. ",0,Jesus Christ the ball was getting crushed !! #BlueJays,
1985,1985,2856,damage,"Texas, USA",0,I liked a @YouTube video http://t.co/tBX8cAKdrw GTA 5 Online - collateral damage! (PC GTA V Online),
2113,2113,3037,death,To The Right of You!,1,Ted Cruz Bashes Obama compared GOP Iranian Yelling 'Death to America' http://t.co/tXETcysm1H | #tcot,
2146,2146,3080,deaths,Edinburgh,0,I had lunch with Stewart & amp; Julian just a couple of hours earlier. Good to finally find out what happened to them. http://t.co/AnP9g6NjFd,
2330,2330,3351,demolished,"Paterson, New Jersey ",1,Three houses demolished in the unrecognized Arab village - International Middle East Media Center http://t.co/ik8m4Yi9T4,
2365,2365,3402,demolition,"ÌøåÀå_T: 40.736324,-73.990062",0,Shame how took'em being a dominant force intriguing to a demolition jobbing C-list https://t.co/1xSSvGIMvb,
2554,2554,3662,destroy,"Jerseyville, IL",1,FLATLINERS dem destroying creativity longevity accounts & amp; TRUTH support with Lucifer in all its flaming destruction https://t.co/WcFpZNsN9u,
2599,2599,3729,destroyed,"North Port, FL",0,@ Ryanoss123 No worries that should be in every batsmen most pitchers was destroyed,
2769,2769,3980,devastation,Atlanta g.a.,0,http://t.co/Gxgm1T3W0J the devastation of elation get back on my feet help those who are willing to help themselves http://t.co/puMxLVLsgM,
2918,2918,4197,drown,Inside your webcam. Stop that.,0,"@kessily @mishacollins therefore, you must send around 2 him then? drown in it? I like the way u think! # # Yes AllTheKidneyBeansAndSorbet4Misha",
2958,2958,4250,drowning,New York,0,The Drowning Girl by Caitlin R. Kiernan Centipede Press Limited Signed and numbered - complete re u_ http://t.co/mwcNVtCXVU http://t.co/ClOLmorpLd,
3249,3249,4670,engulfed,Coventry,0,Do you feel gobbled low self-image? Take the quiz: http://t.co/ykVsttvDWo http://t.co/IFQQpUr99X,
3338,3338,4782,evacuated,"Hackney, London",0,@missleylaha have not had to buy one after the last concert in London because the fire alarm went off and everyone had to be evacuated. LOL,
3425,3425,4898,explode,they/them,0,"marked by @attackonstiles

millions
one-punk
Hang them high
alpha dog
Yes, boy and doll face
white lies
exploit http://t.co/lAtsSUo4wS",
3525,3525,5039,eyewitness,"Bakersfield, California",1,Alarm clock Kern County news witness the morning airing now in KBAK CBS29. http://t.co/rorKtMpqNs #liveonKBAK http://t.co/eDznX6GOud,
3528,3528,5043,eyewitness,,0,DK Eyewitness Travel Guide: Denmark: Travel Guide eBay auctions you should keep an eye on: http://t.co/qPUr3Vd7Hl,
3694,3694,5256,fatality,"Brentwood, NY",0,I added a video to a @YouTube playlist http://t.co/O7QOgmOegU S @ X 109 - SWS | Lethality (Captain Falcon) vs. Snow (Fox) losers SSB4,
4062,4062,5772,forest%20fires,,1,CONSEQUENCES CLIMATE: US Forest Service Says spending more than half of the budget on fire http://t.co/k0QtL8aODH http://t.co/zQBXe7x9Y7,
4267,4267,6061,heat%20wave,Malaysia/Jordan,1,It's a little cold tonight. Wave is finally on the heat ?? ???? 3The 7amdollela kulli 7aal,
4318,4318,6132,hellfire,,1,The Prophet (peace be upon him) said: 'Save yourself from Hellfire even if it comes to half a day in charity.',
4328,4328,6147,hijack,,1,I just posted on my blog: Kidnapping criminal trucks and buses arrested in Enugu (PHOTO) http://t.co/5ytIeX55lh,
4658,4658,6624,inundated,"San Jose, CA, USA",1,This is going to become a great wonder of a month. (And then Pornhub be flooded ....) http://t.co/gghfx8PzMh,
4807,4807,6843,loud%20bang,English Midlands,1,"St steel coffee pot exploded this morning with hot coffee clanging & amp; reasons fired on the table clean crockery phone
Tablet. How?",
4854,4854,6913,mass%20murderer,,1,I know people who tirelessly cares about black against white black crime but what you do with your problem mass murderer?,
4979,4979,7104,military,canada,1,Senator 'alarmed' by reports of US military families harassed: says a US senator on Wednesday he was alarmed by u_ http://t.co/sbILA2Yqjq,
5144,5144,7335,nuclear%20reactor,World,1,Finnish ministers: Fennovoima nuclear reactor will continue http://t.co/vB3VFm76ke #worldnews #news #breakingnews,
5591,5591,7978,razed,,1,Latest: More houses ravaged northern California Wildfire - http://t.co/5FcJVMl520 http://t.co/fvYRWhux8p,
5782,5782,8251,rioting,,0,if that had been a black guy Antioch would be riots,
5918,5918,8450,screamed,"San Diego, CA",1,"OMFG ??
Drag Me Down did not expect to be the first song played Pandora

OMFG I screamed so loud
My co-worker is afraid http://t.co/VzcvAdkcQp",
6154,6154,8780,siren,,1,The real question is why tornado siren sounding in Dyersburg?,
