,Unnamed: 0,id,keyword,location,text,target
775,2330,3351,demolished,"Paterson, New Jersey ",Three Homes Demolished in Unrecognized Arab Village - International Middle East Media Center http://t.co/ik8m4Yi9T4,1
2556,6154,8780,siren,,The real question is why is the tornado siren going off in Dyersburg?,1
1478,159,229,airplane%20accident,,Experts in France begin examining airplane debris found on Reunion Island: French air accident experts on Wedn... http://t.co/v4SMAESLK5,1
1363,2918,4197,drown,Inside your webcam. Stop that.,@kessily @mishacollins So we should send it all 2 him then? Drown him in it? I like the way u think! #AllTheKidneyBeansAndSorbet4Misha #YES,0
2612,707,1021,blazing,New York,Morgan Silver Dollar 1921 P CH Gem Bu PL Blazing MS++++++ Satin Rare Proof Like! - Full reÛ_ http://t.co/99MbyFl3Id http://t.co/4ddMTguZzS,0
2824,3249,4670,engulfed,Coventry,Do you feel engulfed with low self-image? Take the quiz: http://t.co/ykVsttvDWo http://t.co/IFQQpUr99X,0
2041,1898,2729,crushed,"Ontario, Canada. ",Jesus Christ that ball was fucking crushed!! #BlueJays,0
241,5782,8251,rioting,,if that would of been a black dude Antioch would be rioting,0
2061,5144,7335,nuclear%20reactor,World,Finnish ministers: Fennovoima nuclear reactor will go ahead http://t.co/vB3VFm76ke #worldnews #news #breakingnews,1
2363,3694,5256,fatality,"Brentwood, NY",I added a video to a @YouTube playlist http://t.co/O7QOgmOegU S@X 109 - SWS | Fatality (Captain Falcon) Vs. Snow (Fox) SSB4 Losers,0
600,366,524,army,Campinas Sp,"You da One 

#MTVSummerStar #VideoVeranoMTV  #MTVHottest Britney Spears Lana Del Rey",0
2435,163,237,airplane%20accident,92,"#OMG! I don't believe this. #RIP bro
#AirPlane #Accident #JetEngine #TurboJet #Boing #G90 http://t.co/KXxnSZp6nk",1
2888,2113,3037,death,To The Right of You!,Ted Cruz Bashes Obama Comparison GOP To Iranians Shouting 'Death To America' http://t.co/tXETcysm1H | #tcot,1
